System	 #Comps	 Training size	 Probing	 #Experiment	 Identified faults	 Missed faults 	 Exonorated	 False Positives
74181.	65	16384	1	39	1	0	26	38
74181.	65	16384	1	40	1	0	45	19
74181.	65	16384	1	41	1	0	34	30
74181.	65	16384	1	42	1	0	35	29
74181.	65	16384	1	43	1	0	53	11
74181.	65	16384	1	44	1	0	25	39
74181.	65	16384	1	45	1	0	34	30
74181.	65	16384	1	46	1	0	29	35
74181.	65	16384	1	47	1	0	25	39
74181.	65	16384	1	48	1	0	28	36
74181.	65	16384	1	49	1	0	22	42
74181.	65	16384	1	50	1	0	20	44
74181.	65	16384	1	51	1	0	26	38
74181.	65	16384	1	52	1	0	53	11
74181.	65	16384	1	53	1	0	38	26
74181.	65	16384	1	54	1	0	53	11
74181.	65	16384	1	55	1	0	35	29
74181.	65	16384	1	56	1	0	25	39
74181.	65	16384	1	57	1	0	26	38
74181.	65	16384	1	58	1	0	25	32
74181.	65	16384	1	59	1	0	34	30
74181.	65	16384	1	60	1	0	43	21
74181.	65	16384	1	61	1	0	10	54
74181.	65	16384	1	62	1	0	48	16
74181.	65	16384	1	63	1	0	43	21
74181.	65	16384	1	64	1	0	29	35
74181.	65	16384	1	65	1	0	34	30
74181.	65	16384	1	66	1	0	47	17
74181.	65	16384	1	67	1	0	29	35
74181.	65	16384	1	68	1	0	37	27
74181.	65	16384	1
